year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1961,"M","Other",9,1775.314,523.5294,490.549,86.38824,15.35294,16.13471,14.43078,12800.18,175,.7990596
1962,"M","Other",10,1754.076,481.4286,490.3619,85.57429,15.43714,15.84,14.15105,11994.09,364,.898342
1963,"M","Other",1,1741.608,456.8919,488.8919,85.21216,15.46622,15.62689,13.97365,11448.16,520,1.018227
1963,"M","Raytheon",1,1310,628,408.5,85.5,15.8,14.895,14.32,11340,520,3.275116
1964,"S","Bombardier",4,1436,246,465,88,12.7,13.18,10.84,5675,717,3.451434
1964,"M","IAI",1,1840,347,470,81.2,13.8,15.93,13.65,9390,717,1.711812
1964,"M","Other",13,1828.786,632.8571,465.8571,90.57857,14.76429,16.135,14.89143,13485.07,717,2.54866
1964,"M","Raytheon",4,1310,628,408.5,85.5,15.8,14.895,14.32,11340,717,3.605304
1965,"S","Bombardier",47,1436,246,465,88.61291,12.7,13.18,10.84,5675,947,3.666999
1965,"M","Dassault",14,1780,700,466,90,20,17.15,6.32,13000,947,7.377993
1965,"M","IAI",27,1840,347,470,81.2,13.8,15.93,13.65,9390,947,1.890857
1965,"M","Other",39,1806.66,590.1887,456.6415,90.49811,14.71698,15.56208,14.51264,12163.23,947,2.76383
1965,"M","Raytheon",30,1310,628,408.5,85.5,15.8,14.895,14.32,11340,947,3.925351
1966,"S","Bombardier",38,1436.041,247.0816,465,89.50816,12.70816,13.20694,10.84,5698.061,1136,3.869129
1966,"M","Dassault",35,1780,700,466,90,20,17.15,6.32,13000,1136,7.950305
1966,"M","IAI",41,1840,347,470,81.2,13.8,15.93,13.65,9390,1136,2.11157
1966,"M","Other",41,1836.949,649.322,463.7966,91.07288,14.7,16.18542,14.9783,13680.97,1136,2.981498
1966,"M","Raytheon",40,1310,628,408.5,85.5,15.8,14.895,14.32,11340,1136,4.312637
1967,"S","Bombardier",25,1436,246,465,91.58286,12.7,13.18,10.84,5675,1297,4.046183
1967,"M","Dassault",28,1780,700,466,90,20,17.15,6.32,13000,1297,8.420515
1967,"L","Gulfstream",6,3715,1269,505,90.9,50.7,24.36,20.98,29710,1297,18.69774
1967,"M","IAI",15,1840,347,470,81.2,13.8,15.93,13.65,9390,1297,2.309424
1967,"M","Other",27,1826.105,627.3684,467.1579,91.89737,14.79474,16.41763,14.86895,13454.11,1297,3.186011
1967,"M","Raytheon",20,1310,628,408.5,85.5,15.8,14.895,14.32,11340,1297,4.646266
1968,"S","Bombardier",37,1436.708,264.7708,465,92.40208,12.84167,13.6475,10.84,6075.208,1515,4.19158
1968,"M","Dassault",33,1780,700,466,90,20,17.15,6.32,13000,1515,9.515896
1968,"L","Gulfstream",30,3715,1269,505,90.9,50.7,24.36,20.98,29710,1515,19.29717
1968,"M","IAI",4,1840,347,470,81.2,13.8,15.93,13.65,9390,1515,2.523693
1968,"M","Other",30,1817.149,610.4255,460.9362,93.13617,14.7383,16.30617,14.69149,12785.89,1515,3.374946
1968,"M","Raytheon",15,1310,628,408.5,85.5,15.8,14.895,14.32,11340,1515,4.996974
1969,"S","Bombardier",45,1436.915,270.2542,465,92.57796,12.88305,13.78407,10.84,6192.119,1763,4.303854
1969,"M","Dassault",10,1780,700,466,90,20,17.15,6.32,13000,1763,8.085502
1969,"L","Gulfstream",29,3715,1269,505,90.9,50.7,24.36,20.98,29710,1763,19.74339
1969,"M","IAI",5,1840,347,470,81.2,13.8,15.93,13.65,9390,1763,2.778622
1969,"M","Other",18,1827.975,637.75,465.85,93.2325,14.8825,16.56225,14.88075,13454.3,1763,3.546067
1969,"M","Raytheon",25,1310,628,408.5,85.5,15.8,14.895,14.32,11340,1763,5.405318
1970,"S","Bombardier",42,1436.941,270.9412,465,92.6,12.88824,13.80118,10.84,6206.765,1983,4.454825
1970,"M","Dassault",13,1780,700,466,90,20,17.15,6.32,13000,1983,7.170899
1970,"L","Gulfstream",16,3715,1269,505,90.9,50.7,24.36,20.98,29710,1983,20.35917
1970,"M","Other",2,1792.222,562.2222,451.5555,94.48889,14.7,15.97,14.27444,11350.22,1983,5.542384
1970,"M","Raytheon",24,1310,628,408.5,85.5,15.8,14.895,14.32,11340,1983,5.800789
1971,"S","Bombardier",9,1437.077,274.5385,465,92.71539,12.91538,13.89077,10.84,6283.461,2232,4.66369
1971,"S","Cessna",8,1328,205,357,78,9.79,13.26,14.35,5380,2232,2.57614
