year,price_sperm,price_oil,price_sperm_real,price_oil_real,sperm,oil,shipwrecks
1804,1.4,0.5,1.11,0.4,8.636,114.1065,0.064167
1805,0.96,0.5,0.68,0.35,6.39,42.17,0.06609
1806,0.8,0.5,0.58,0.37,5.313,86.737,0.0678642
1807,1,0.5,0.77,0.38,0.27,65.12,0.0644097
1808,0.8,0.44,0.7,0.38,8.8,83.75,0.0641716
1809,0.6,0.44,0.46,0.34,6.7,54.172,0.0504216
1810,0.75,0.4,0.57,0.31,12.47,70.38,0.0510626
1811,1.25,0.4,0.99,0.32,33.38,130.35,0.0443258
1812,1,0.5,0.76,0.38,17.244,80.599,0.0859924
1813,1.25,0.5,0.77,0.31,8.04,36.43,0.0950833
1814,1.25,1.4,0.69,0.77,3.55,12.28,0.1139774
1815,1,0.83,0.59,0.49,1.895,64.51,0.1120543
1816,1.125,0.65,0.75,0.43,9.613999,117.902,0.1103876
1817,0.72,0.6,0.48,0.4,31.229,123.988,0.1092904
1818,0.9,0.5,0.61,0.34,17.857,83.48,0.1115127
1819,0.83,0.35,0.66,0.28,28.758,85.56599,0.1121592
1820,0.935,0.35,0.88,0.33,43.766,146.133,0.109183
1821,0.675,0.33,0.66,0.32,52.572,209.914,0.1122532
1822,0.65,0.32,0.61,0.3,41.449,199.405,0.0757412
1823,0.43,0.32,0.42,0.31,94.536,285.486,0.0685194
1824,0.455,0.3,0.46,0.31,96.18201,264.453,0.04499
1825,0.705,0.32,0.68,0.31,64.235,166.58,0.0521972
1826,0.75,0.3,0.76,0.3,35.054,114.794,0.0501972
1827,0.725,0.3,0.74,0.31,94.998,223.262,0.0485671
1828,0.625,0.26,0.64,0.27,90.009,259.931,0.0451621
1829,0.615,0.26,0.64,0.27,87.258,222.39,0.0428527
1830,0.655,0.39,0.72,0.43,107.37,310.623,0.0401741
1831,0.71,0.3,0.76,0.32,119.377,310.902,0.0362204
1832,0.85,0.235,0.89,0.25,95.399,383.361,0.0352615
1833,0.85,0.26,0.89,0.27,114.623,398.314,0.0369427
1834,0.725,0.275,0.81,0.31,133.618,412.256,0.0367135
1835,0.84,0.39,0.84,0.39,176.239,458.138,0.0321945
1836,0.89,0.44,0.78,0.39,146.618,432.074,0.0349896
1837,0.825,0.35,0.72,0.3,186.219,579.181,0.0380257
1838,0.83,0.32,0.75,0.29,138.074,513.007,0.0379953
1839,1.03,0.345,0.92,0.31,157.954,514.948,0.0384807
1840,1,0.3,1.05,0.32,173.634,518.577,0.041788
1841,0.94,0.3175,1.02,0.35,171.878,509.177,0.0407542
1842,0.73,0.3375,0.89,0.41,174.687,492.514,0.0427855
1843,0.63,0.345,0.84,0.46,182.227,487.774,0.0486469
1844,0.905,0.365,1.18,0.47,155.345,501.005,0.0516079
1845,0.88,0.32875,1.06,0.4,176.634,566.248,0.0568908
1846,0.87875,0.3375,1.06,0.41,106.994,501.694,0.0639079
1847,1.002548,0.36,1.11,0.4,131.2,550.395,0.065328
1848,1.0033,0.33,1.22,0.4,129.334,509.476,0.067986
1849,1.089,0.399,1.33,0.49,121.283,477.497,0.0705471
1850,1.207,0.491,1.44,0.58,122.749,542.456,0.0696245
1851,1.2725,0.453125,1.53,0.55,110.487,594.675,0.079374
1852,1.2375,0.68167,1.41,0.77,89.225,278.578,0.0809761
1853,1.2475,0.58125,1.29,0.6,110.599,538.293,0.0799913
1854,1.4875,0.59625,1.38,0.55,81.597,546.434,0.0796368
1855,1.772,0.713,1.61,0.65,82.884,446.215,0.0789906
1856,1.62,0.795,1.54,0.76,97.17,456.359,0.0802418
1857,1.2833,0.7325,1.16,0.66,100.094,446.456,0.0857916
1858,1.21,0.54,1.3,0.58,91.75101,383.735,0.0914864
1859,1.3625,0.485,1.43,0.51,100.656,382.445,0.0950067
1860,1.415,0.495,1.52,0.53,83.145,334.268,0.1011884
1861,1.315,0.4425,1.48,0.5,84.123,355.026,0.0950497
1862,1.425,0.5933,1.37,0.57,76.328,311.021,0.0924607
1863,1.61,0.9525,1.21,0.72,73.72,310.075,0.1012054
1864,1.78,1.28,0.92,0.66,85.87401,216.045,0.1033669
1865,2.25,1.45,1.22,0.78,51.464,163.815,0.1071532
1866,2.55,1.21,1.47,0.7,32.449,156.296,0.1051013
1867,2.235,0.7325,1.38,0.45,47.019,210.71,0.107677
1868,1.92,0.82,1.22,0.52,54.523,244.861,0.1054319
1869,1.78,1.0175,1.18,0.67,60.809,181.604,0.1054545
1870,1.355,0.6725,1,0.5,62.162,200.285,0.1063717
1871,1.35,0.6,1.04,0.46,67.007,236.66,0.1110281
1872,1.4525,0.655,1.07,0.48,48.243,114.761,0.1146314
1873,1.48,0.62,1.11,0.47,40.407,77.241,0.1162097
1874,1.59,0.605,1.26,0.48,46.307,89.994,0.1093686
1875,1.6033,0.6525,1.36,0.55,58.676,139.441,0.1011986
1876,1.405,0.61,1.28,0.55,48.082,158.226,0.1060712
1877,1.13,0.52,1.07,0.49,32.339,108.868,0.1047147
1878,0.915,0.44,1.01,0.48,60.406,165.988,0.1060759
1879,0.845,0.39,0.94,0.43,41.31,117.939,0.1051798
1880,0.99,0.51,0.99,0.51,48.743,161.52,0.0974132
1881,0.88,0.48,0.85,0.47,56.99,151.283,0.0939636
1882,1.06,0.535,0.98,0.5,36.658,101.111,0.0957395
1883,0.97,0.54,0.96,0.53,20.501,82.772,0.0803986
1884,0.85,0.56,0.91,0.6,29.985,130.093,0.0842523
1885,0.82,0.45,0.96,0.53,40.355,142.36,0.0913111
1886,0.745,0.33,0.91,0.4,35.003,122.405,0.0820937
1887,0.66,0.32,0.78,0.38,18.119,117.037,0.0730502
1888,0.62,0.35,0.72,0.41,16.994,88.02,0.0734612
1889,0.656,0.38,0.81,0.47,14.575,103.949,0.0706435
1890,0.65,0.42,0.79,0.51,29.164,79.818,0.0742939
1891,0.69,0.47,0.84,0.57,13.536,86.145,0.067267
1892,0.675,0.425,0.89,0.56,11.94,108.169,0.0615858
1893,0.735,0.425,0.94,0.54,12.101,114.43,0.0623434
1894,0.56,0.325,0.8,0.46,14.335,81.33,0.0648409
1895,0.48,0.28,0.68,0.39,14.57,47.715,0.0610909
1896,0.4,0.35,0.59,0.51,15.993,76.825,0.0550909
1897,0.46,0.37,0.68,0.54,30.06,66.23,0.0573409
1898,0.53,0.34,0.75,0.48,8.035,64.875,0.0556742
1899,0.49,0.35,0.64,0.45,9.885,61.655,0.0507756
1900,0.525,0.37,0.64,0.45,18.745,54.755,0.051063
1901,0.56,0.38,0.69,0.47,28.265,74.14,0.057334
1902,0.66,0.37,0.77,0.43,27.445,53.525,0.0662846
1903,0.56,0.38,0.64,0.44,14.265,72.06,0.062118
1904,0.52,0.36,0.6,0.41,18.05,58.566,0.0589094
1905,0.46,0.31,0.52,0.35,8.84,29.755,0.0561077
1906,0.51,0.335,0.57,0.37,23.745,74.645,0.0608696
1907,0.59,0.37,0.62,0.39,20.23,63.005,0.0574767
1908,0.57,0.32,0.62,0.35,16.49,78.8,0.0534912
1909,0.59,0.31,0.6,0.31,16.475,55.675,0.0609271
1910,0.63,0.38,0.61,0.37,17.773,50.27,0.0571392
1911,0.51,0.38,0.54,0.4,40.087,61.61,0.0497319
1912,0.53,0.36,0.52,0.36,21.537,62.43,0.035843
1913,0.48,0.35,0.47,0.34,12.175,30.03,0.0449339
